date,student_name,center,city,grade,present
2024-01-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-03,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-06,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-08,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-10,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-16,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-19,Rahul Kumar,Pune-01,Pune,6th,0
2024-01-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-09,Rahul Kumar,Pune-01,Pune,6th,0
2024-02-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-13,Rahul Kumar,Pune-01,Pune,6th,0
2024-02-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-18,Rahul Kumar,Pune-01,Pune,6th,0
2024-02-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-27,Rahul Kumar,Pune-01,Pune,6th,0
2024-02-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-02-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-01,Rahul Kumar,Pune-01,Pune,6th,0
2024-03-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-13,Rahul Kumar,Pune-01,Pune,6th,0
2024-03-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-29,Rahul Kumar,Pune-01,Pune,6th,0
2024-03-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-03-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-01,Rahul Kumar,Pune-01,Pune,6th,0
2024-04-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-06,Rahul Kumar,Pune-01,Pune,6th,0
2024-04-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-10,Rahul Kumar,Pune-01,Pune,6th,0
2024-04-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-04-30,Rahul Kumar,Pune-01,Pune,6th,0
2024-05-01,Rahul Kumar,Pune-01,Pune,6th,0
2024-05-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-15,Rahul Kumar,Pune-01,Pune,6th,1
