date,center,city,volunteer,subject,students_present,homework_given,pt_done,prayer_done,extra_activity
2024-01-01,Pune-01,Pune,Vikram Singh,English,17,False,False,True,True
2024-01-01,Pune-01,Pune,Meena Patel,GK,17,True,False,True,True
2024-01-01,Pune-01,Pune,Vikram Singh,English,17,True,False,True,False
2024-01-01,Pune-01,Pune,Rajesh Sharma,Language,17,True,True,True,False
2024-01-01,Pune-12,Pune,Vikram Singh,Language,25,True,False,False,True
2024-01-01,Mumbai-03,Mumbai,Rajesh Sharma,GK,31,True,False,True,False
2024-01-01,Mumbai-03,Mumbai,Meena Patel,Maths,31,False,False,True,False
2024-01-01,Delhi-05,Delhi,Suresh Kumar,Maths,29,True,False,True,False
2024-01-01,Delhi-05,Delhi,Anita Desai,English,29,True,True,True,True
2024-01-02,Pune-01,Pune,Vikram Singh,GK,26,False,False,False,False
2024-01-02,Pune-01,Pune,Meena Patel,Language,26,False,True,True,False
2024-01-02,Pune-12,Pune,Rajesh Sharma,Maths,24,False,True,False,False
2024-01-02,Mumbai-03,Mumbai,Meena Patel,Language,23,True,True,False,False
2024-01-02,Bangalore-07,Bangalore,Rajesh Sharma,Language,26,False,False,False,True
2024-01-02,Bangalore-07,Bangalore,Suresh Kumar,Maths,26,True,True,True,False
2024-01-02,Bangalore-07,Bangalore,Anita Desai,GK,26,False,False,True,False
2024-01-03,Pune-01,Pune,Rajesh Sharma,English,18,False,False,True,False
2024-01-03,Pune-01,Pune,Meena Patel,GK,18,False,True,False,False
2024-01-03,Pune-01,Pune,Suresh Kumar,Maths,18,True,True,False,True
2024-01-03,Pune-12,Pune,Anita Desai,Maths,29,True,True,True,False
2024-01-03,Pune-12,Pune,Vikram Singh,GK,29,True,True,True,False
2024-01-03,Mumbai-03,Mumbai,Vikram Singh,English,29,True,True,True,False
2024-01-03,Mumbai-03,Mumbai,Anita Desai,Maths,29,True,True,True,True
2024-01-03,Mumbai-03,Mumbai,Suresh Kumar,GK,29,True,False,True,False
2024-01-03,Mumbai-03,Mumbai,Suresh Kumar,Maths,29,True,True,True,False
2024-01-03,Bangalore-07,Bangalore,Meena Patel,Language,39,True,False,True,True
2024-01-03,Bangalore-07,Bangalore,Suresh Kumar,Maths,39,True,False,True,False
2024-01-03,Bangalore-07,Bangalore,Anita Desai,Language,39,False,False,True,True
2024-01-03,Bangalore-07,Bangalore,Anita Desai,Language,39,True,True,True,True
2024-01-04,Pune-12,Pune,Anita Desai,Maths,21,False,False,False,True
2024-01-04,Pune-12,Pune,Suresh Kumar,English,21,True,False,False,False
2024-01-04,Pune-12,Pune,Suresh Kumar,English,21,False,False,False,False
2024-01-04,Mumbai-03,Mumbai,Rajesh Sharma,English,23,False,False,True,False
2024-01-04,Mumbai-03,Mumbai,Meena Patel,English,23,False,True,True,False
2024-01-04,Delhi-05,Delhi,Vikram Singh,Language,38,True,False,True,False
2024-01-04,Bangalore-07,Bangalore,Meena Patel,English,31,True,False,True,False
2024-01-05,Pune-12,Pune,Suresh Kumar,English,24,True,True,True,True
2024-01-05,Pune-12,Pune,Vikram Singh,GK,24,True,False,False,True
2024-01-05,Pune-12,Pune,Vikram Singh,English,24,True,False,False,False
2024-01-05,Pune-12,Pune,Vikram Singh,Language,24,True,True,True,False
2024-01-05,Mumbai-03,Mumbai,Vikram Singh,Language,26,False,True,False,False
2024-01-05,Delhi-05,Delhi,Meena Patel,GK,19,False,False,False,True
2024-01-05,Bangalore-07,Bangalore,Anita Desai,Maths,35,True,True,False,False
2024-01-05,Bangalore-07,Bangalore,Suresh Kumar,Maths,35,False,False,True,True
2024-01-06,Pune-01,Pune,Anita Desai,English,26,True,True,False,True
2024-01-06,Pune-01,Pune,Meena Patel,English,26,False,True,False,False
2024-01-06,Pune-01,Pune,Anita Desai,GK,26,True,False,False,False
2024-01-06,Pune-01,Pune,Anita Desai,Maths,26,False,False,False,True
2024-01-06,Pune-12,Pune,Meena Patel,GK,16,True,True,True,True
2024-01-06,Mumbai-03,Mumbai,Anita Desai,Maths,36,True,True,True,False
2024-01-06,Mumbai-03,Mumbai,Anita Desai,English,36,True,True,True,False
2024-01-06,Mumbai-03,Mumbai,Rajesh Sharma,Language,36,True,False,True,False
2024-01-06,Bangalore-07,Bangalore,Meena Patel,GK,28,True,False,False,True
2024-01-06,Bangalore-07,Bangalore,Anita Desai,GK,28,True,False,False,True
2024-01-06,Bangalore-07,Bangalore,Suresh Kumar,Language,28,True,True,False,False
2024-01-06,Bangalore-07,Bangalore,Anita Desai,Maths,28,False,False,True,True
2024-01-07,Pune-01,Pune,Rajesh Sharma,English,32,True,True,True,False
2024-01-07,Pune-01,Pune,Anita Desai,Maths,32,True,True,False,False
2024-01-07,Pune-12,Pune,Meena Patel,Language,33,True,True,False,False
2024-01-07,Pune-12,Pune,Vikram Singh,Language,33,True,True,False,True
2024-01-07,Mumbai-03,Mumbai,Anita Desai,GK,20,True,True,False,False
2024-01-07,Mumbai-03,Mumbai,Meena Patel,Language,20,True,True,False,False
2024-01-07,Delhi-05,Delhi,Vikram Singh,GK,20,True,True,False,True
2024-01-07,Bangalore-07,Bangalore,Suresh Kumar,Language,24,True,False,False,False
2024-01-07,Bangalore-07,Bangalore,Rajesh Sharma,English,24,False,False,False,False
2024-01-07,Bangalore-07,Bangalore,Rajesh Sharma,Maths,24,False,False,False,False
2024-01-07,Bangalore-07,Bangalore,Rajesh Sharma,Maths,24,False,False,True,False
2024-01-08,Pune-01,Pune,Meena Patel,Language,38,True,False,False,False
2024-01-08,Pune-01,Pune,Meena Patel,GK,38,False,False,True,False
2024-01-08,Pune-01,Pune,Anita Desai,Language,38,True,False,True,False
2024-01-08,Pune-12,Pune,Rajesh Sharma,Language,21,True,False,False,False
2024-01-08,Pune-12,Pune,Meena Patel,Language,21,True,True,False,True
2024-01-08,Pune-12,Pune,Rajesh Sharma,Maths,21,False,False,False,False
2024-01-08,Mumbai-03,Mumbai,Anita Desai,Maths,27,True,True,True,True
2024-01-08,Mumbai-03,Mumbai,Suresh Kumar,English,27,True,True,True,True
2024-01-08,Mumbai-03,Mumbai,Meena Patel,Maths,27,True,False,False,True
2024-01-08,Mumbai-03,Mumbai,Suresh Kumar,Language,27,True,False,True,True
2024-01-08,Delhi-05,Delhi,Anita Desai,Language,39,False,True,False,True
2024-01-08,Delhi-05,Delhi,Anita Desai,Maths,39,False,False,True,True
2024-01-08,Delhi-05,Delhi,Vikram Singh,Maths,39,True,False,False,True
2024-01-08,Delhi-05,Delhi,Anita Desai,GK,39,True,False,False,True
2024-01-08,Bangalore-07,Bangalore,Anita Desai,Language,34,False,False,True,True
2024-01-09,Pune-01,Pune,Suresh Kumar,Maths,33,True,False,False,False
2024-01-09,Pune-12,Pune,Suresh Kumar,GK,22,True,True,True,True
2024-01-09,Mumbai-03,Mumbai,Suresh Kumar,Language,15,True,False,False,False
2024-01-09,Bangalore-07,Bangalore,Meena Patel,GK,37,True,False,False,True
2024-01-09,Bangalore-07,Bangalore,Anita Desai,Language,37,False,False,False,False
2024-01-10,Pune-01,Pune,Meena Patel,Maths,32,True,True,True,True
2024-01-10,Mumbai-03,Mumbai,Suresh Kumar,English,29,False,False,True,False
2024-01-10,Mumbai-03,Mumbai,Suresh Kumar,English,29,True,False,False,False
2024-01-11,Pune-01,Pune,Anita Desai,English,17,False,True,True,True
2024-01-11,Pune-01,Pune,Anita Desai,Maths,17,False,False,False,False
2024-01-11,Pune-01,Pune,Meena Patel,Language,17,True,True,False,True
2024-01-11,Delhi-05,Delhi,Rajesh Sharma,GK,23,False,True,True,False
2024-01-11,Bangalore-07,Bangalore,Suresh Kumar,Language,22,True,True,False,True
2024-01-11,Bangalore-07,Bangalore,Vikram Singh,Language,22,False,False,True,False
2024-01-11,Bangalore-07,Bangalore,Anita Desai,English,22,True,False,True,False
2024-01-11,Bangalore-07,Bangalore,Vikram Singh,Maths,22,True,True,True,True
2024-01-12,Pune-01,Pune,Meena Patel,GK,21,True,True,True,False
2024-01-12,Pune-01,Pune,Vikram Singh,Language,21,True,False,False,True
2024-01-12,Pune-01,Pune,Vikram Singh,GK,21,True,False,False,False
2024-01-12,Pune-12,Pune,Rajesh Sharma,English,23,True,True,True,False
2024-01-12,Mumbai-03,Mumbai,Meena Patel,Maths,38,True,True,True,True
2024-01-12,Mumbai-03,Mumbai,Anita Desai,Language,38,True,True,True,False
2024-01-12,Mumbai-03,Mumbai,Rajesh Sharma,English,38,True,True,False,False
2024-01-12,Delhi-05,Delhi,Anita Desai,Maths,33,True,False,True,False
2024-01-12,Delhi-05,Delhi,Vikram Singh,Maths,33,False,True,True,False
2024-01-13,Pune-01,Pune,Vikram Singh,English,29,False,False,False,True
2024-01-13,Pune-01,Pune,Rajesh Sharma,Maths,29,True,False,False,False
2024-01-13,Pune-01,Pune,Rajesh Sharma,GK,29,True,True,False,False
2024-01-13,Pune-01,Pune,Meena Patel,English,29,True,True,False,False
2024-01-13,Pune-12,Pune,Vikram Singh,English,38,True,False,False,True
2024-01-13,Pune-12,Pune,Vikram Singh,English,38,False,True,False,False
2024-01-13,Pune-12,Pune,Suresh Kumar,Language,38,True,False,True,True
2024-01-13,Pune-12,Pune,Rajesh Sharma,Language,38,False,True,False,True
2024-01-13,Mumbai-03,Mumbai,Anita Desai,GK,23,True,True,True,False
2024-01-13,Mumbai-03,Mumbai,Suresh Kumar,English,23,True,True,False,True
2024-01-13,Mumbai-03,Mumbai,Rajesh Sharma,English,23,False,False,True,True
2024-01-13,Delhi-05,Delhi,Suresh Kumar,GK,25,True,True,True,True
2024-01-13,Bangalore-07,Bangalore,Anita Desai,GK,24,True,True,False,False
2024-01-13,Bangalore-07,Bangalore,Rajesh Sharma,Maths,24,False,False,False,False
2024-01-14,Pune-01,Pune,Anita Desai,Maths,32,False,False,False,True
2024-01-14,Pune-01,Pune,Vikram Singh,GK,32,False,True,False,False
2024-01-14,Pune-01,Pune,Anita Desai,GK,32,True,True,False,False
2024-01-14,Pune-12,Pune,Vikram Singh,GK,28,True,True,False,True
2024-01-14,Pune-12,Pune,Vikram Singh,Maths,28,True,True,False,False
2024-01-14,Mumbai-03,Mumbai,Vikram Singh,Language,28,True,True,True,False
2024-01-15,Pune-01,Pune,Suresh Kumar,English,33,True,True,False,False
2024-01-15,Pune-01,Pune,Vikram Singh,English,33,True,False,True,True
2024-01-15,Pune-01,Pune,Vikram Singh,English,33,True,False,True,False
2024-01-15,Pune-01,Pune,Rajesh Sharma,English,33,False,True,True,True
2024-01-15,Pune-12,Pune,Vikram Singh,Maths,32,True,True,False,False
2024-01-15,Pune-12,Pune,Suresh Kumar,Maths,32,True,True,False,False
2024-01-15,Mumbai-03,Mumbai,Anita Desai,GK,22,False,False,True,False
2024-01-15,Delhi-05,Delhi,Suresh Kumar,Maths,35,False,True,True,True
2024-01-15,Bangalore-07,Bangalore,Suresh Kumar,Maths,15,False,False,True,False
2024-01-15,Bangalore-07,Bangalore,Anita Desai,English,15,False,False,True,False
2024-01-15,Bangalore-07,Bangalore,Suresh Kumar,Maths,15,True,True,True,False
2024-01-15,Bangalore-07,Bangalore,Rajesh Sharma,English,15,True,True,False,False
2024-01-16,Pune-01,Pune,Meena Patel,GK,17,True,False,False,True
2024-01-16,Pune-01,Pune,Rajesh Sharma,Maths,17,False,False,True,False
2024-01-16,Mumbai-03,Mumbai,Meena Patel,Maths,28,True,True,False,False
2024-01-16,Delhi-05,Delhi,Suresh Kumar,GK,35,True,False,False,False
2024-01-16,Delhi-05,Delhi,Suresh Kumar,GK,35,False,True,True,True
2024-01-16,Bangalore-07,Bangalore,Anita Desai,English,28,True,True,True,True
2024-01-16,Bangalore-07,Bangalore,Suresh Kumar,Maths,28,True,True,True,False
2024-01-16,Bangalore-07,Bangalore,Vikram Singh,English,28,True,False,True,False
2024-01-16,Bangalore-07,Bangalore,Rajesh Sharma,Language,28,True,True,False,False
2024-01-17,Pune-12,Pune,Suresh Kumar,Maths,20,True,True,True,False
2024-01-17,Pune-12,Pune,Vikram Singh,GK,20,False,False,False,False
2024-01-17,Mumbai-03,Mumbai,Anita Desai,Language,18,True,True,True,False
2024-01-17,Delhi-05,Delhi,Meena Patel,Language,18,False,False,True,False
2024-01-17,Delhi-05,Delhi,Meena Patel,Maths,18,True,False,True,False
2024-01-17,Delhi-05,Delhi,Rajesh Sharma,Language,18,True,False,True,False
2024-01-17,Delhi-05,Delhi,Vikram Singh,Maths,18,True,False,True,False
2024-01-17,Bangalore-07,Bangalore,Rajesh Sharma,GK,35,True,False,True,False
2024-01-17,Bangalore-07,Bangalore,Suresh Kumar,Maths,35,True,False,True,False
2024-01-17,Bangalore-07,Bangalore,Meena Patel,English,35,True,True,True,False
2024-01-18,Pune-12,Pune,Vikram Singh,Maths,31,True,True,True,True
2024-01-18,Pune-12,Pune,Vikram Singh,English,31,True,False,True,True
2024-01-18,Pune-12,Pune,Vikram Singh,Maths,31,False,False,True,False
2024-01-18,Mumbai-03,Mumbai,Meena Patel,Maths,22,True,True,True,True
2024-01-18,Mumbai-03,Mumbai,Suresh Kumar,GK,22,True,True,False,False
2024-01-18,Delhi-05,Delhi,Vikram Singh,Maths,37,False,False,False,False
2024-01-18,Delhi-05,Delhi,Vikram Singh,English,37,True,False,True,True
2024-01-18,Delhi-05,Delhi,Vikram Singh,English,37,True,False,False,False
2024-01-18,Bangalore-07,Bangalore,Suresh Kumar,GK,31,True,False,True,False
2024-01-18,Bangalore-07,Bangalore,Rajesh Sharma,GK,31,True,True,False,True
2024-01-19,Pune-01,Pune,Suresh Kumar,Language,34,True,False,True,False
2024-01-19,Pune-01,Pune,Suresh Kumar,English,34,False,False,True,False
2024-01-19,Pune-01,Pune,Meena Patel,Language,34,False,True,True,True
2024-01-19,Pune-12,Pune,Anita Desai,Maths,30,False,False,False,False
2024-01-19,Mumbai-03,Mumbai,Anita Desai,Language,18,True,False,False,True
2024-01-19,Mumbai-03,Mumbai,Suresh Kumar,English,18,True,False,True,False
2024-01-19,Delhi-05,Delhi,Rajesh Sharma,English,23,False,False,True,False
2024-01-19,Bangalore-07,Bangalore,Suresh Kumar,Maths,23,True,False,True,False
2024-01-19,Bangalore-07,Bangalore,Meena Patel,Language,23,True,True,False,False
2024-01-19,Bangalore-07,Bangalore,Suresh Kumar,GK,23,True,True,True,True
2024-01-20,Pune-01,Pune,Rajesh Sharma,GK,19,True,False,False,False
2024-01-20,Pune-01,Pune,Vikram Singh,GK,19,False,False,False,False
2024-01-20,Pune-12,Pune,Vikram Singh,Language,30,False,False,False,True
2024-01-20,Delhi-05,Delhi,Vikram Singh,Maths,38,True,True,False,False
2024-01-21,Pune-01,Pune,Anita Desai,GK,27,True,False,True,False
2024-01-21,Pune-01,Pune,Rajesh Sharma,Language,27,True,True,False,False
2024-01-21,Pune-12,Pune,Meena Patel,GK,16,True,False,True,False
2024-01-21,Pune-12,Pune,Meena Patel,Language,16,False,False,True,False
2024-01-21,Pune-12,Pune,Vikram Singh,Maths,16,True,False,True,False
2024-01-21,Pune-12,Pune,Meena Patel,Maths,16,False,True,True,False
2024-01-21,Mumbai-03,Mumbai,Meena Patel,English,25,False,False,True,True
2024-01-21,Mumbai-03,Mumbai,Meena Patel,Language,25,True,False,True,False
2024-01-21,Mumbai-03,Mumbai,Suresh Kumar,English,25,True,True,True,False
2024-01-21,Delhi-05,Delhi,Anita Desai,Language,30,True,False,True,True
2024-01-21,Delhi-05,Delhi,Suresh Kumar,Maths,30,True,False,True,True
2024-01-22,Pune-01,Pune,Suresh Kumar,Language,17,True,False,False,False
2024-01-22,Pune-01,Pune,Meena Patel,Maths,17,True,False,False,True
2024-01-22,Mumbai-03,Mumbai,Meena Patel,GK,35,True,True,True,False
2024-01-22,Delhi-05,Delhi,Meena Patel,English,18,True,False,False,True
2024-01-22,Delhi-05,Delhi,Vikram Singh,GK,18,False,False,True,True
2024-01-22,Bangalore-07,Bangalore,Meena Patel,English,24,True,True,True,True
2024-01-23,Mumbai-03,Mumbai,Suresh Kumar,English,36,True,True,False,True
2024-01-23,Mumbai-03,Mumbai,Anita Desai,GK,36,False,False,False,False
2024-01-23,Mumbai-03,Mumbai,Anita Desai,Language,36,True,True,False,True
2024-01-23,Mumbai-03,Mumbai,Suresh Kumar,Language,36,True,True,True,False
2024-01-23,Delhi-05,Delhi,Rajesh Sharma,Language,20,True,False,True,False
2024-01-23,Delhi-05,Delhi,Meena Patel,GK,20,True,False,True,False
2024-01-24,Pune-01,Pune,Meena Patel,English,35,False,False,True,False
2024-01-24,Pune-01,Pune,Vikram Singh,Maths,35,True,False,False,False
2024-01-24,Pune-12,Pune,Suresh Kumar,Language,26,True,True,True,False
2024-01-24,Pune-12,Pune,Suresh Kumar,GK,26,False,False,True,False
2024-01-24,Pune-12,Pune,Rajesh Sharma,Maths,26,False,True,False,True
2024-01-24,Delhi-05,Delhi,Rajesh Sharma,Language,24,False,True,False,True
2024-01-24,Delhi-05,Delhi,Suresh Kumar,Language,24,False,False,True,False
2024-01-24,Delhi-05,Delhi,Rajesh Sharma,Language,24,True,True,False,False
2024-01-24,Bangalore-07,Bangalore,Anita Desai,English,32,False,False,True,False
