date,student_name,center,city,grade,subject,marks,max_marks
2024-01-31,Rahul Kumar,Pune-01,Pune,6th,English,44,50
2024-01-31,Rahul Kumar,Pune-01,Pune,6th,Maths,39,50
2024-01-31,Rahul Kumar,Pune-01,Pune,6th,Language,29,50
2024-01-31,Rahul Kumar,Pune-01,Pune,6th,GK,37,50
2024-02-29,Rahul Kumar,Pune-01,Pune,6th,English,38,50
2024-02-29,Rahul Kumar,Pune-01,Pune,6th,Maths,34,50
2024-02-29,Rahul Kumar,Pune-01,Pune,6th,Language,43,50
2024-02-29,Rahul Kumar,Pune-01,Pune,6th,GK,35,50
2024-03-31,Rahul Kumar,Pune-01,Pune,6th,English,39,50
2024-03-31,Rahul Kumar,Pune-01,Pune,6th,Maths,40,50
2024-03-31,Rahul Kumar,Pune-01,Pune,6th,Language,39,50
2024-03-31,Rahul Kumar,Pune-01,Pune,6th,GK,34,50
2024-04-30,Rahul Kumar,Pune-01,Pune,6th,English,38,50
2024-04-30,Rahul Kumar,Pune-01,Pune,6th,Maths,39,50
2024-04-30,Rahul Kumar,Pune-01,Pune,6th,Language,44,50
2024-04-30,Rahul Kumar,Pune-01,Pune,6th,GK,33,50
2024-05-31,Rahul Kumar,Pune-01,Pune,6th,English,37,50
2024-05-31,Rahul Kumar,Pune-01,Pune,6th,Maths,37,50
2024-05-31,Rahul Kumar,Pune-01,Pune,6th,Language,34,50
2024-05-31,Rahul Kumar,Pune-01,Pune,6th,GK,35,50
2024-06-30,Rahul Kumar,Pune-01,Pune,6th,English,40,50
2024-06-30,Rahul Kumar,Pune-01,Pune,6th,Maths,33,50
2024-06-30,Rahul Kumar,Pune-01,Pune,6th,Language,41,50
2024-06-30,Rahul Kumar,Pune-01,Pune,6th,GK,41,50
2024-07-31,Rahul Kumar,Pune-01,Pune,6th,English,35,50
2024-07-31,Rahul Kumar,Pune-01,Pune,6th,Maths,40,50
2024-07-31,Rahul Kumar,Pune-01,Pune,6th,Language,43,50
2024-07-31,Rahul Kumar,Pune-01,Pune,6th,GK,50,50
2024-08-31,Rahul Kumar,Pune-01,Pune,6th,English,38,50
2024-08-31,Rahul Kumar,Pune-01,Pune,6th,Maths,44,50
2024-08-31,Rahul Kumar,Pune-01,Pune,6th,Language,36,50
2024-08-31,Rahul Kumar,Pune-01,Pune,6th,GK,36,50
2024-09-30,Rahul Kumar,Pune-01,Pune,6th,English,38,50
2024-09-30,Rahul Kumar,Pune-01,Pune,6th,Maths,40,50
2024-09-30,Rahul Kumar,Pune-01,Pune,6th,Language,44,50
2024-09-30,Rahul Kumar,Pune-01,Pune,6th,GK,42,50
2024-10-31,Rahul Kumar,Pune-01,Pune,6th,English,44,50
2024-10-31,Rahul Kumar,Pune-01,Pune,6th,Maths,38,50
2024-10-31,Rahul Kumar,Pune-01,Pune,6th,Language,38,50
2024-10-31,Rahul Kumar,Pune-01,Pune,6th,GK,39,50
2024-11-30,Rahul Kumar,Pune-01,Pune,6th,English,38,50
2024-11-30,Rahul Kumar,Pune-01,Pune,6th,Maths,35,50
2024-11-30,Rahul Kumar,Pune-01,Pune,6th,Language,38,50
2024-11-30,Rahul Kumar,Pune-01,Pune,6th,GK,32,50
2024-12-31,Rahul Kumar,Pune-01,Pune,6th,English,29,50
2024-12-31,Rahul Kumar,Pune-01,Pune,6th,Maths,37,50
2024-12-31,Rahul Kumar,Pune-01,Pune,6th,Language,30,50
2024-12-31,Rahul Kumar,Pune-01,Pune,6th,GK,33,50
2024-01-31,Priya Shah,Mumbai-03,Mumbai,7th,English,39,50
2024-01-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,43,50
2024-01-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,32,50
2024-01-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,45,50
2024-02-29,Priya Shah,Mumbai-03,Mumbai,7th,English,40,50
2024-02-29,Priya Shah,Mumbai-03,Mumbai,7th,Maths,44,50
2024-02-29,Priya Shah,Mumbai-03,Mumbai,7th,Language,35,50
2024-02-29,Priya Shah,Mumbai-03,Mumbai,7th,GK,37,50
2024-03-31,Priya Shah,Mumbai-03,Mumbai,7th,English,50,50
2024-03-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,37,50
2024-03-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,38,50
2024-03-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,32,50
2024-04-30,Priya Shah,Mumbai-03,Mumbai,7th,English,37,50
2024-04-30,Priya Shah,Mumbai-03,Mumbai,7th,Maths,41,50
2024-04-30,Priya Shah,Mumbai-03,Mumbai,7th,Language,43,50
2024-04-30,Priya Shah,Mumbai-03,Mumbai,7th,GK,38,50
2024-05-31,Priya Shah,Mumbai-03,Mumbai,7th,English,31,50
2024-05-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,37,50
2024-05-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,32,50
2024-05-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,35,50
2024-06-30,Priya Shah,Mumbai-03,Mumbai,7th,English,44,50
2024-06-30,Priya Shah,Mumbai-03,Mumbai,7th,Maths,42,50
2024-06-30,Priya Shah,Mumbai-03,Mumbai,7th,Language,39,50
2024-06-30,Priya Shah,Mumbai-03,Mumbai,7th,GK,45,50
2024-07-31,Priya Shah,Mumbai-03,Mumbai,7th,English,36,50
2024-07-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,42,50
2024-07-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,33,50
2024-07-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,41,50
2024-08-31,Priya Shah,Mumbai-03,Mumbai,7th,English,47,50
2024-08-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,43,50
2024-08-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,44,50
2024-08-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,48,50
2024-09-30,Priya Shah,Mumbai-03,Mumbai,7th,English,42,50
2024-09-30,Priya Shah,Mumbai-03,Mumbai,7th,Maths,40,50
2024-09-30,Priya Shah,Mumbai-03,Mumbai,7th,Language,36,50
2024-09-30,Priya Shah,Mumbai-03,Mumbai,7th,GK,43,50
