center,name,hours,subject,date
Pune-01,Ritu Jain,2.2,Language,2024-03-12
Pune-01,Deepak Rao,5.8,Language,2024-10-09
Pune-01,Deepak Rao,4.5,Maths,2024-01-27
Pune-01,Deepak Rao,5.2,English,2024-12-27
Pune-01,Vikram Singh,1.5,Maths,2024-10-16
Pune-12,Vikram Singh,5.3,Maths,2024-02-07
Pune-12,Suresh Kumar,5.8,Language,2024-05-23
Pune-12,Vikram Singh,2.5,Maths,2024-04-27
Pune-12,Deepak Rao,1.3,Maths,2024-09-03
Pune-12,Suresh Kumar,1.4,Maths,2024-07-12
Mumbai-03,Ritu Jain,2.3,English,2024-01-26
Mumbai-03,Rajesh Sharma,3.8,Language,2024-03-05
Mumbai-03,Deepak Rao,5.0,GK,2024-04-07
Mumbai-03,Anita Desai,2.2,GK,2024-12-20
Mumbai-03,Anita Desai,3.2,Language,2024-11-09
Mumbai-03,Ritu Jain,4.2,GK,2024-02-19
Delhi-05,Deepak Rao,1.3,GK,2024-03-11
Delhi-05,Anita Desai,5.1,English,2024-11-23
Delhi-05,Meena Patel,2.7,Language,2024-06-06
Delhi-05,Anita Desai,4.4,English,2024-04-01
Delhi-05,Suresh Kumar,5.0,English,2024-06-17
Delhi-05,Anita Desai,4.3,Language,2024-01-23
Delhi-05,Vikram Singh,2.3,GK,2024-12-27
Delhi-05,Vikram Singh,3.1,Language,2024-01-27
Delhi-05,Anita Desai,4.9,Maths,2024-06-05
Delhi-05,Rajesh Sharma,1.7,GK,2024-08-03
Delhi-05,Suresh Kumar,2.5,Language,2024-03-02
Bangalore-07,Vikram Singh,4.8,English,2024-07-24
Bangalore-07,Ritu Jain,3.0,GK,2024-11-23
Bangalore-07,Anita Desai,1.0,Maths,2024-05-20
Bangalore-07,Rajesh Sharma,4.6,Maths,2024-11-12
Bangalore-07,Deepak Rao,2.2,Language,2024-11-25
Bangalore-07,Anita Desai,5.2,English,2024-12-27
Bangalore-07,Deepak Rao,1.5,Language,2024-04-04
Bangalore-07,Meena Patel,4.8,Maths,2024-11-25
Bangalore-07,Deepak Rao,5.1,Maths,2024-07-16
